City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Dawson Creek,55.7666,-120.2362,69.44,64,20,5.75,CA,1687724046
81,Castillos,-34.1667,-53.8333,57.58,84,40,5.61,UY,1687724307
82,Wailua Homesteads,22.0669,-159.378,81.39,74,100,20.71,US,1687724308
83,Lebu,-37.6167,-73.65,55.24,87,11,16.22,CL,1687724175
84,Peace River,56.2501,-117.286,61.11,82,100,5.75,CA,1687724311
85,Gadzhiyevo,69.2551,33.3362,47.89,95,79,12.46,RU,1687724312
86,Waitangi,-43.9535,-176.5597,51.82,90,100,7.0,NZ,1687724313
87,Selfoss,63.9331,-20.9971,45.05,92,100,9.95,IS,1687724314
88,Klaksvík,62.2266,-6.589,54.52,96,100,7.65,FO,1687724315
89,Margaret River,-33.95,115.0667,45.7,85,71,8.77,AU,1687724317
90,Mogocha,53.7333,119.7667,51.48,97,99,1.92,RU,1687724318
91,Atherton,53.5237,-2.4935,64.54,88,50,1.01,GB,1687724319
92,Xilin Hot,43.9667,116.0333,70.14,47,100,9.15,CN,1687724321
93,Tiksi,71.6872,128.8694,44.11,73,22,8.3,RU,1687724322
94,Tommot,58.9564,126.2925,60.8,88,100,2.93,RU,1687724323
95,Port Elizabeth,-33.918,25.5701,57.49,99,100,6.91,ZA,1687724324
96,Songjiang,31.036,121.2146,80.06,91,100,5.37,CN,1687724326
97,New Norfolk,-42.7826,147.0587,44.1,96,7,3.62,AU,1687724327
98,Utrik,11.2278,169.8474,82.49,76,82,19.3,MH,1687724328
99,Hermanus,-34.4187,19.2345,53.8,90,99,14.0,ZA,1687724329
100,Qaqortoq,60.7167,-46.0333,41.04,76,0,8.84,GL,1687724331
101,Port Alfred,-33.5906,26.891,58.17,94,100,5.99,ZA,1687724332
102,Ashland,40.8167,-82.2665,84.97,59,100,14.29,US,1687724209
103,Ilulissat,69.2167,-51.1,42.82,70,74,6.91,GL,1687724335
104,Port Macquarie,-31.4333,152.9167,49.24,58,11,7.02,AU,1687724336
105,Lázaro Cárdenas,17.9583,-102.2,87.93,61,80,11.43,MX,1687724112
106,Ugoofaaru,5.6667,73.0,81.79,75,100,11.59,MV,1687724338
107,La Passe,45.5549,-0.8967,71.83,88,0,12.15,FR,1687724339
108,Ujae,8.9322,165.7642,82.69,80,56,17.4,MH,1687724340
109,Manatí,18.4275,-66.4921,87.28,79,90,15.35,PR,1687724342
110,Tsiombe,-25.3,45.4833,59.14,71,2,1.79,MG,1687724345
111,Philadelphia,39.9523,-75.1638,88.0,63,75,13.8,US,1687724176
112,Rémire-Montjoly,4.9167,-52.2667,82.44,74,20,6.91,GF,1687724347
113,Arnö,60.1167,18.6333,58.78,83,0,3.0,SE,1687724348
114,Summerside,46.3959,-63.7876,68.68,94,100,13.8,CA,1687724349
115,Cockburn Town,21.4612,-71.1419,83.28,75,95,17.16,TC,1687724350
116,Guerrero Negro,27.9769,-114.0611,73.11,56,6,20.13,MX,1687724351
117,Tromsø,69.6496,18.957,51.82,82,75,3.44,NO,1687724353
118,Zaragoza,41.6561,-0.8773,92.8,30,20,6.91,ES,1687724354
119,Beryozovo,63.9381,65.0419,45.39,64,94,4.45,RU,1687724356
120,Bubaque,11.2833,-15.8333,81.39,79,94,10.04,GW,1687724357
121,Abingdon,51.6711,-1.2828,68.27,62,20,13.8,GB,1687724358
122,Florø,61.5996,5.0328,72.23,82,0,5.75,NO,1687724360
123,Arhribs,36.7936,4.3116,67.87,68,0,3.11,DZ,1687724361
124,Olonkinbyen,70.9221,-8.7187,42.55,98,89,10.83,SJ,1687724362
125,Hasaki,35.7333,140.8333,72.21,91,43,3.76,JP,1687724200
126,Iqaluit,63.7506,-68.5145,49.73,61,75,17.27,CA,1687724364
127,Dudinka,69.4058,86.1778,51.62,62,86,6.53,RU,1687724366
128,Ålesund,62.4723,6.1549,66.99,82,0,3.44,NO,1687724367
129,Lagoa,39.05,-27.9833,69.87,72,100,3.91,PT,1687724369
130,Haiku-Pauwela,20.9219,-156.3051,82.42,45,20,21.85,US,1687724370
131,College,64.8569,-147.8028,74.59,50,75,4.61,US,1687724371
132,Talcahuano,-36.7167,-73.1167,58.68,94,75,13.8,CL,1687724372
133,Hawaiian Paradise Park,19.5933,-154.9731,81.03,71,75,12.66,US,1687724373
134,Camabatela,-8.1881,15.375,62.76,57,19,1.77,AO,1687724374
135,Hamilton,39.1834,-84.5333,88.88,58,40,17.27,US,1687724116
136,Chernyshevskiy,63.0128,112.4714,58.53,58,100,6.76,RU,1687724377
137,Lihue,21.9789,-159.3672,81.99,66,100,20.71,US,1687724378
138,Fort-Shevchenko,44.5086,50.263,74.73,75,22,14.34,KZ,1687724380
139,Vilyuchinsk,52.9306,158.4028,57.47,78,23,0.87,RU,1687724381
140,Mata-Utu,-13.2816,-176.1745,81.27,69,7,7.76,WF,1687724382
141,Zhympīty,50.2536,52.595,57.72,70,0,11.5,KZ,1687724383
142,Kavaratti,10.5669,72.642,83.93,75,100,18.72,IN,1687724384
143,Puerto Ayora,-0.7393,-90.3518,79.56,87,92,7.0,EC,1687724386
144,Nagato,34.3833,131.2,71.62,95,100,7.96,JP,1687724387
145,Mabaruma,8.2,-59.7833,84.78,70,46,6.42,GY,1687724369
146,Metro,-5.1131,105.3067,73.8,95,23,4.97,ID,1687724390
147,Caucayá,-0.1934,-74.7819,80.04,84,100,0.83,CO,1687724391
148,Pacasmayo,-7.4006,-79.5714,74.93,71,76,12.93,PE,1687724393
149,George Town,5.4112,100.3354,80.53,90,20,2.3,MY,1687724370
150,Karratha,-20.7377,116.8463,64.17,59,55,7.76,AU,1687724395
151,Nagqu Prefecture,31.5,92.0,40.82,39,0,4.99,CN,1687724396
152,Jiwani,25.05,61.7417,84.81,74,100,10.07,PK,1687724397
153,Cole Harbour,44.6724,-63.4751,72.79,73,100,8.05,CA,1687724398
154,Nogliki,51.8333,143.1667,54.77,98,100,2.98,RU,1687724399
155,Kapaa,22.0752,-159.319,82.72,73,100,20.71,US,1687724401
156,Ghadames,30.1337,9.5007,94.42,12,0,5.88,LY,1687724402
157,Sungai Penuh,-2.0833,101.3833,63.57,97,100,1.77,ID,1687724404
158,Al Ghayzah,16.2079,52.176,84.96,73,61,6.15,YE,1687724405
159,Nizhnesortymskiy,62.4397,71.7603,42.51,91,53,7.31,RU,1687724237
160,Zabul Province,32.25,67.25,78.66,34,95,5.95,AF,1687724407
161,Naryan-Mar,67.6713,53.087,49.05,80,80,9.53,RU,1687724408
162,Ixtapa,20.7,-105.2,89.22,70,20,14.97,MX,1687724410
163,Island Harbour,50.724,-1.2758,68.47,82,4,5.01,GB,1687724411
164,Sarangani,5.4033,125.4636,83.55,75,49,12.01,PH,1687724412
165,Khandyga,62.6667,135.6,69.96,65,0,1.59,RU,1687724414
166,Fort Bragg,35.139,-79.006,93.2,52,0,4.0,US,1687724415
167,Port Blair,11.6667,92.75,82.27,82,100,11.21,IN,1687724417
168,Aral,40.5156,81.2636,80.51,24,96,14.54,CN,1687724418
169,Champerico,14.3,-91.9167,91.94,60,92,6.35,GT,1687724419
170,Mount Gambier,-37.8333,140.7667,51.98,75,58,13.29,AU,1687724420
171,Mugia,43.1041,-9.2179,69.91,88,41,13.33,ES,1687724421
172,Hithadhoo,-0.6,73.0833,81.81,76,100,8.52,MV,1687724423
173,Wakkanai,45.4094,141.6739,61.02,96,40,16.78,JP,1687724424
174,Piaçabuçu,-10.4056,-36.4344,76.35,78,62,10.49,BR,1687724425
175,Pacific Grove,36.6177,-121.9166,73.02,72,75,10.36,US,1687724427
176,Sinop Province,41.7711,34.8709,65.35,74,0,4.79,TR,1687724428
177,Central,30.5544,-91.0368,97.97,58,0,11.5,US,1687724429
178,Marabá,-5.3686,-49.1178,91.58,49,20,3.44,BR,1687724253
179,Roboré,-18.3333,-59.75,88.48,36,1,6.42,BO,1687724433
180,Sebring,27.4956,-81.4409,91.74,68,99,1.99,US,1687724241
181,Saurimo,-9.6608,20.3916,61.65,38,0,3.6,AO,1687724435
182,San Luis de la Loma,17.2706,-100.8939,87.51,65,85,11.1,MX,1687724436
183,Flying Fish Cove,-10.4217,105.6791,76.68,88,75,8.05,CX,1687724438
184,St. John's,47.5649,-52.7093,69.19,77,75,31.07,CA,1687724242
185,Lindi,-10.0,39.7167,66.61,85,0,3.85,TZ,1687724440
186,Formosa,-26.1775,-58.1781,87.78,48,0,6.91,AR,1687724441
187,Corinth,37.9407,22.9573,72.9,76,74,3.71,GR,1687724443
188,Nadym,65.5333,72.5167,39.94,94,52,10.96,RU,1687724444
189,Gdov,58.7406,27.8122,57.97,88,99,7.49,RU,1687724445
190,Longyearbyen,78.2186,15.6401,39.04,87,75,9.22,SJ,1687724446
191,Kiunga,-6.1219,141.2906,74.19,97,100,1.77,PG,1687724447
192,Constanța,44.1833,28.65,72.7,79,75,2.21,RO,1687724449
193,Tottori-shi,35.5,134.2333,71.11,79,100,4.18,JP,1687724407
194,Dryden,49.7833,-92.7503,66.49,68,100,16.11,CA,1687724451
195,Galway,53.2719,-9.0489,58.08,78,3,14.9,IE,1687724453
196,Nishinoomote,30.7333,131.0,76.93,88,100,9.24,JP,1687724454
197,Winchester,51.0651,-1.3187,68.18,56,20,13.8,GB,1687724455
198,Saint-Joseph,-21.3667,55.6167,62.98,78,54,5.88,RE,1687724456
199,Boguchany,58.3814,97.4531,54.52,80,100,3.38,RU,1687724457
200,Fortaleza,-3.7227,-38.5247,82.53,74,0,14.97,BR,1687724458
201,Gandia,38.9667,-0.1833,86.41,63,0,1.99,ES,1687724460
202,Rongelap,11.1635,166.8941,82.51,80,16,19.1,MH,1687724461
203,Saint Croix,17.7397,-64.7388,84.65,66,20,11.5,VI,1687724463
204,Touros,-5.1989,-35.4608,78.8,77,10,13.8,BR,1687724223
205,San Patricio,28.017,-97.5169,101.12,46,0,17.45,US,1687724465
206,Urangan,-25.3,152.9,64.65,87,14,7.38,AU,1687724466
207,Carutapera,-1.195,-46.02,81.95,76,62,6.73,BR,1687724231
208,Tamanghasset,22.785,5.5228,82.31,30,40,4.61,DZ,1687724468
209,Kismayo,-0.3582,42.5454,77.31,78,69,17.13,SO,1687724469
210,Choibalsan,48.0667,114.5,62.78,75,2,4.85,MN,1687724471
211,Barranca,-10.75,-77.7667,72.37,71,12,10.94,PE,1687724305
212,Nelson Bay,-32.7167,152.15,55.99,45,2,10.0,AU,1687724474
213,Chuguyevka,44.1653,133.8633,64.69,92,62,3.49,RU,1687724475
214,Morinville,53.8001,-113.652,67.78,73,40,10.36,CA,1687724476
215,Kisanga,-7.4362,37.7034,68.52,75,0,2.68,TZ,1687724477
216,Qingdao,36.0986,120.3719,67.6,100,75,11.18,CN,1687724478
217,San Fernando,15.0286,120.6898,80.33,86,75,3.53,PH,1687724480
218,Ratangarh,28.0833,74.6,89.4,53,60,11.7,IN,1687724481
219,Santa Ana,33.7456,-117.8678,84.42,53,0,8.05,US,1687724246
220,Pauini,-7.7136,-66.9764,84.25,73,100,1.7,BR,1687724483
221,Kingston,17.997,-76.7936,92.25,60,20,24.16,JM,1687724374
222,Whitehorse,60.7161,-135.0538,67.01,42,75,19.57,CA,1687724198
223,Punta Arenas,-53.15,-70.9167,35.71,93,100,9.22,CL,1687724487
224,Rio Grande,-32.035,-52.0986,60.91,95,100,9.1,BR,1687724488
225,Lompoc,34.6391,-120.4579,74.79,72,7,15.99,US,1687724258
226,Suva,-18.1416,178.4415,63.88,88,20,5.75,FJ,1687724491
227,Sitka,57.0531,-135.33,55.29,76,100,9.22,US,1687724492
228,Ust'-Uda,54.1742,103.0304,56.62,93,100,5.99,RU,1687724493
229,Liaoyuan,42.9036,125.1358,67.05,76,41,2.3,CN,1687724420
230,Saint Paul Harbor,57.79,-152.4072,54.91,62,75,12.66,US,1687724496
231,Jamestown,42.097,-79.2353,84.02,57,75,9.22,US,1687724497
232,Bucerías,20.75,-105.3333,89.98,70,20,14.97,MX,1687724498
233,Arraial do Cabo,-22.9661,-42.0278,75.06,78,0,12.66,BR,1687724501
234,Tarija,-21.5355,-64.7296,84.11,15,0,4.61,BO,1687724502
235,Newman,37.3138,-121.0208,80.94,26,0,2.24,US,1687724316
236,Petauke,-14.2426,31.3253,57.6,47,0,8.79,ZM,1687724505
237,Podgornoye,51.735,39.1496,53.82,94,0,2.24,RU,1687724508
238,Valparaíso,-33.0393,-71.6273,64.63,84,75,4.61,CL,1687723917
239,Lubumbashi,-11.6609,27.4794,56.3,54,0,2.46,CD,1687724511
240,Mont-Dore,-22.2833,166.5833,66.99,99,12,1.79,NC,1687724512
241,Papayal,-4.0761,-80.7361,84.79,50,99,5.84,PE,1687724513
